logical_path,size_bytes,sha256,storage,code_status
data/ssDat_full_2019.pkl,596449564,910f5d252af0e247682cfc36ee60628775bf59cfdc44c8408986d4fb041774da,split-gzip; restore with ./run prepare-data,active-input
data/ssDat_full_groot.pkl,787118167,3d4ec54fd220dedefaa40b11e0bf2b23ed7a3501220b5f208e941cdc41bee5cd,split-gzip; restore with ./run prepare-data,active-input
data/ssDat_rsp_0239.pkl,502577177,04f5a4ed4f5f3d0d410f117daac9c85060ec581d69a433eff2e6863500e9b0dd,split-gzip; restore with ./run prepare-data,active-input
data/ssDat_rsp_2019.pkl,64801239,febf3993f4f71b984f331d6094c5a6310549c50318162df24bc69a6c33d9d0c2,regular-git-blob,active-input
data/ssDat_rsp_groot.pkl,124156214,7572d0a5deda551509da6e0a497b96ca79750c21c32cf4853f1380875f31ae2c,split-gzip; restore with ./run prepare-data,active-input
data/tempGen_0239.pkl,2076601,939b844964d365cdce8dc854339d5aefe57a1c8c53da259c86f3dcf8de0e5f27,regular-git-blob,active-input
data/tempGen_2019.pkl,1442721,b7a0ea17035f4224d690d06a9d6c00c4715452779fd6fdf408c39fb386904277,regular-git-blob,active-input
data/tempGen_cs_days_groot.pkl,11765166,4372c6c227f0ac947eca94c232a9a71f45ee32ea754633a10e280ece583a3a50,regular-git-blob,active-input
data/tempGen_cs_groot.pkl,7845128,73bfe0aeec9b6d8bf523293eb35b4c36a83f42406d545bfa4f31cc96099c2f58,regular-git-blob,active-input
data/tempGen_groot.pkl,7845128,91ce1e6af6f470a9f65c8845a41e64361fb0e73cb0fee919e959c81c87b44620,regular-git-blob,active-input
data/vol_subspace_0239.pkl,18793,f8375461414394b52fecf75d69a34e8dba6ddd5b2c24e3053968fed8bd784a26,regular-git-blob,active-input
data/vol_subspace_2019.pkl,18793,8436419d85041c7cb33c60158d766483513321de22e93d4aab6c156c05b66b04,regular-git-blob,active-input
data/vol_subspace_groot.pkl,18793,fe3439401bd4423787b9cb3c35e539516d41a680f87456ebec1589b643825464,regular-git-blob,active-input
data/volitionDynamics_0239.pkl,11488,c5fbb131b3b07a487f9f449d5179cc993a5729ffb91c31fc62da05c07cd4e49b,regular-git-blob,active-input
data/volitionDynamics_2019.pkl,10968,9b4e9788db22509fc20bf205e880d9699989f374f7ec6155682aee61d9b58b65,regular-git-blob,active-input
data/volitionDynamics_groot.pkl,21368,f9a2060a9888ee897925c37a4c1562117123b2a241675774bbfde20059dd53a3,regular-git-blob,active-input
data/volition_0239.pkl,6814,1f1d4117936066689ec1b6b6e3a9f63ab59e666ad9b2984e467d345bb8ef56f4,regular-git-blob,active-input
data/volition_2019.pkl,6814,11b1b9f0146330c0ffeaf08eb8b1880ae21f575773cd3f448f12585a8f249968,regular-git-blob,active-input
data/volition_groot.pkl,6814,14fbc2faa1ae1f750e56849fec4051614985f15f94ac98d336d10e86f7cada75,regular-git-blob,active-input
